Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
uncaught,2,2,2,2,0.04,0.02,0.4771,0.4771
unceasing,8,8,7,7,0.16,0.10,0.9542,0.9542
unceasingly,5,5,5,5,0.10,0.06,0.7782,0.7782
uncensored,8,7,7,6,0.16,0.08,0.9542,0.9031
unceremonious,6,5,5,4,0.12,0.06,0.8451,0.7782
unceremoniously,5,5,4,4,0.10,0.06,0.7782,0.7782
uncertain,121,112,116,107,2.37,1.34,2.0864,2.0531
uncertainties,6,6,6,6,0.12,0.07,0.8451,0.8451
uncertainty,69,61,65,57,1.35,0.73,1.8451,1.7924
Unchain,9,9,3,3,0.18,0.11,1.0000,1.0000
unchained,6,6,4,4,0.12,0.07,0.8451,0.8451
Unchallenged,12,10,5,5,0.24,0.12,1.1139,1.0414
unchangeable,7,6,6,5,0.14,0.07,0.9031,0.8451
unchanged,36,35,35,34,0.71,0.42,1.5682,1.5563
unchanging,8,8,7,7,0.16,0.10,0.9542,0.9542
unchaperoned,2,2,2,2,0.04,0.02,0.4771,0.4771
uncharacteristic,5,5,5,5,0.10,0.06,0.7782,0.7782
uncharacteristically,6,6,6,6,0.12,0.07,0.8451,0.8451
uncharitable,3,3,3,3,0.06,0.04,0.6021,0.6021
uncharted,60,54,55,49,1.18,0.64,1.7853,1.7404
unchartered,2,2,2,2,0.04,0.02,0.4771,0.4771
unchaste,2,2,2,2,0.04,0.02,0.4771,0.4771
uncheck,2,2,1,1,0.04,0.02,0.4771,0.4771
unchecked,19,18,18,17,0.37,0.21,1.3010,1.2788
unchristian,7,5,5,5,0.14,0.06,0.9031,0.7782
uncircumcised,14,12,11,10,0.27,0.14,1.1761,1.1139
uncivil,3,3,3,3,0.06,0.04,0.6021,0.6021
uncivilised,5,5,5,5,0.10,0.06,0.7782,0.7782
uncivilized,35,29,33,28,0.69,0.35,1.5563,1.4771
unclaimed,19,17,17,16,0.37,0.20,1.3010,1.2553
unclasp,3,3,3,3,0.06,0.04,0.6021,0.6021
Unclassified,3,3,1,1,0.06,0.04,0.6021,0.6021
Uncle,6327,1865,2225,1059,124.06,22.23,3.8013,3.2709
unclean,65,46,58,42,1.27,0.55,1.8195,1.6721
unclear,75,70,74,69,1.47,0.83,1.8808,1.8513
Unclench,9,8,4,4,0.18,0.10,1.0000,0.9542
uncles,110,73,100,70,2.16,0.87,2.0453,1.8692
